Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
4.80E+14,Aditya Birla Group,Aditya Birla Group,1231523,88
1.39E+15,BJP Keralam,BJP Keralam,1226545,187
1.80E+14,Tamilakam - ???????,Ulta Chashmaa,1224748,44
6.67E+14,Singai G Ramachandran,Singai G Ramachandran,1194853,156
2.40E+14,BJP Jharkhand,BJP Jharkhand,1180539,643
2.58E+14,??? ?????? ????? - Hath Badlega Halaat,??? ?????? ?????,1177729,1240
2.37E+14,Aamcha Maharashtra - ???? ??????????,Ulta Chashmaa,1125457,80
21169267101,Give,Give,1118530,54
1.26E+14,Jogesh JOJO,Jogesh JOJO,1103922,12
7.54E+14,Indian National Congress - Odisha,Indian National Congress - Odisha,1062206,1004
7.21E+14,Dr. Ponguru Narayana,Dr. Ponguru Narayana,1054636,603
1.06E+14,Ramvir Singh Bidhuri,Ramvir Singh Bidhuri,1033811,453
1.08E+14,Paltu Paltan - ???? ????,Paltu Paltan - ???? ????,1029521,1260
1.55E+15,Vijay Sai Reddy,Vijay Sai Reddy,1022689,1020
1.89E+14,Maaveeran Modi,Maaveeran Modi,1022068,260
2.15E+14,We Follow Kartik Pandian,MindBreakMedia,1014684,524
1.08E+14,JDU National,The Narrative Builders,998846,17
1.11E+14,TVS Raider,TVS Raider,995700,62
1.74E+14,Bal Raksha Bharat,Bal Raksha Bharat,977905,48
1.32E+14,GAIL (India) Limited,Interactive Bees Pvt. Ltd,975703,127
2.07E+14,BJP Delhi,BJP Delhi,962973,368
1.06E+14,India Wants Kejriwal,India Wants Kejriwal,903340,11
22390992794,Deepender Singh Hooda,Deepender Singh Hooda,900845,527
2.34E+14,Pemmasani For Guntur,Aadhan Media Pvt Ltd,896314,29
1.06E+14,Majji Srinivasarao,Majji Srinivasarao,893598,268
2.70E+14,Nam Namo - ??? ???,Nam Namo,891044,221
1.33E+14,smilefoundation,Smile Foundation,877565,176
1.07E+14,Charitism Global,Charitism Global,872218,56
1.09E+14,Nirmamata,Nirmamata,862811,372
1.29E+14,C.R.I. Group,C.R.I. Group,857072,391
2.48E+14,Amaar Sonar Bangla - ???? ????? ?????,Amaar Sonar Bangla - ??? ????? ?????,851662,73
5.93E+14,My First Vote For Modi,My First Vote For Modi,845425,821
1.75E+14,Jagan: The Juggernaut,Team Jagananna,838776,52
1.09E+14,Ellorum Nammudan,Ellorum Nammudan,832450,208
2.19E+14,Rajeev Chandrasekhar,Kiran Nath,829166,462
1.04E+14,Voice Of Mahabubnagar,Voice Of Mahabubnagar,823403,150
1.00E+14,Bhashyam Praveen,Bhashyam Praveen,818136,190
1.89E+14,Manasevakmodi,Manasevakmodi,814816,532
1.80E+14,Kannada Sangamam - ????? ????,Kannada Sangamam - ????? ????,805551,40
1.04E+14,Bharat Todo Gang - ???? ????? ????,Bharat Todo Gang - ???? ????? ????,773670,719
1.24E+14,BJP Mumbai,Bharatiya Janata Party,770404,88
31867849201,News18,News18,769916,82
1.76E+14,Janata Dal (United),Janata Dal (United),763709,1440
1.74E+15,Ganta Followers,Ganta Followers,751859,426
6.40E+14,Baijayant 'Jay' Panda,Baijayant 'Jay' Panda,740761,138
2.44E+14,Pushkar Singh Dhami,Pushkar Singh Dhami,736182,1401
1.46E+14,Indian National Congress - Punjab,Indian National Congress - Punjab,730843,193
1.55E+15,Gurjeet Singh Aujla,BubbleWorld,715177,443
1.80E+14,Kannada Sangamam - ????? ????,Ulta Chashmaa,715157,30
1.86E+14,Sunowlo Sikkim,Sunowlo Sikkim,705536,221
1.11E+14,Namburu sankar rao,Namburu sankar rao,703988,358
2.27E+14,Challa Vamshi Chand Reddy,Challa Vamshi Chand Reddy,702689,253
1.00E+14,ATM Sarkar - ????? ??????,ATM Sarkar - ????? ??????,702107,158
3.14E+14,Sidha Chashama 2.0 - ???? ????? 2.0,Ulta Chashmaa,700327,50
1.22E+17,AP Tomorrow,AP Tomorrow,699913,79
2.60E+14,Haath Badlega Halaat-??? ?????? ?????,Policy Briefcase,699632,557
3.22E+14,Dr. Parthasarathi,Dr. Parthasarathi,699185,264
1.04E+14,School of Politics,School of Politics,697129,142
3.47E+14,Bode Ramachandra Yadav,Bode Ramachandra Yadav,688734,171
1.00E+14,The Nation Vibes,The Nation Vibes,685251,832
1.34E+14,Mansoor Khan Fan Club,Mansoor Khan Fan Club,677813,163
2.61E+14,Punjab Congress Anandpur Sahib,Punjab Congress Anandpur Sahib,671758,233
1.08E+14,Surya Prakash Singh,Surya Prakash Singh,667644,203
1.32E+14,Jindal Stainless Solutions,Chariot Media,665232,16
1.51E+15,Hawa Badlo,Interactive Bees Pvt Ltd,660274,195
7.16E+14,Kollu Ravindra,Kollu Ravindra,659483,1223
2.31E+15,Aadhan Telugu,Aadhan Media Pvt Ltd,652839,42
1.92E+14,????? ??????? Odia Asmita,????? ??????? Odia Asmita,646747,1367
2.45E+14,Telangana Central - ??????? ????????,Ulta Chashmaa,646174,12
1.40E+15,Ranjit Singh Dhillon,Ranjit Singh Dhillon,643025,1149
4.38E+14,Dr. Anirban Ganguly,AMIT KUMAR,640060,328
2.30E+14,Lalitesh Pati Tripathi,Lalitesh Pati Tripathi,638848,83
1.17E+14,??? ?????? -  Maha Bighadi,??? ?????? -  Maha Bighadi,630347,441
1.03E+14,Quarter Biryani,Quarter Biryani,627544,127
1.68E+15,Modippada,Modippada,626807,172
1.11E+14,Unfiltered Jammu Kashmir,jaagtajammu.com,625897,489
2.18E+14,Stories of Andhra Pradesh,Jagananna Tho Siddham,622673,16
2.09E+14,Taranjit Singh Sandhu,Taranjit S Sandhu,621742,468
1.79E+14,Arjun Modhwadia,Arjun Modhwadia,619123,383
1.79E+14,Gaddam Vamsi Krishna,Gaddam Vamsi Krishna,612510,159
1.24E+14,Vinay Kumar GB,Vinay Kumar GB,608969,320
5.73E+14,Dr Shrikant Eknath Shinde,Dr Shrikant Eknath Shinde,605542,116
1.16E+14,Mission 125+,Mission 125+,605497,1155
2.55E+14,Dr Gottipati Lakshmi,Aadhan Media Pvt Ltd,603219,55
8.41E+14,India News,India News,597282,105
1.63E+14,Shiromani Akali Dal,Shiromani Akali Dal,596491,264
4.64E+14,Dr. Subhash Sharma,Dr. Subhash Sharma,585398,275
2.18E+15,Karan Singh Uchiyarda Fan Club,Karan Singh Uchiyarda Fan Club,584517,146
1.47E+15,Tgv bharath,Tgv bharath,580268,244
1.09E+14,Ellorum Nammudan,DMK,574092,154
1.43E+15,Himachali Rishta - ??????? ?????? ??? ???,Himachali Rishta - ??????? ?????? ??? ???,573281,39
1.19E+14,?????? ???????? - Meluko Andhrudaa,Political Engineer,572987,491
2.67E+14,Aapka Apna Vaibhav,Congress Phir Se,572381,332
1.65E+14,Vishnu Deo Sai,Vishnu Deo Sai,569439,827
1.17E+14,Khadeema Congress-???? ?????????,Khadeema Congress-???? ?????????,558980,96
2.38E+14,Bengal Pulse,Blow Horn Media,558154,233
1.00E+14,Lekha Jokha Maharashtracha - ???? ???? ?????????????,Lekha Jokha Maharashtracha - ???? ???? ?????????????,549133,480
3.89E+11,Jaago Re,Jaago Re,548000,7
1.10E+14,????? ??????????,Ap Feedback,546501,280
2.26E+14,"Odia Dignity, Odia Pride","Odia Dignity, Odia Pride",544900,120
2.05E+15,AIADMK's IT Wing,AIADMK's IT Wing,541813,36
5.65E+14,Ramesh Awasthi,Ramesh Awasthi,539192,884
2.77E+14,Tamilisai For Southchennai,Sheer Media Pvt Ltd,539183,44
1.40E+15,Bjp Chhattisgarh,Bharatiya Janata Party,538192,167
2.87E+14,Karan Singh Uchiyarda,Karan Singh Uchiyarda,536126,363
1.64E+15,Gajendra Singh Shekhawat Fan Club,Gajendra Singh Shekhawat Fan Club,525903,186
1.50E+15,Sudhakar Singh,Sudhakar Singh,524443,496
1.05E+14,Voice of Andhra,Voice of Andhra,522394,11
1.71E+14,Indian National Congress -  Himachal Pradesh,Himachal Pradesh Congress,515101,123
4.80E+14,Vemireddy Prabhakar Reddy,Vemireddy Prabhakar Reddy,511329,80
7.47E+14,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,504451,97
2.63E+14,Priyanka Gandhi Vadra,Priyanka Gandhi Vadra,501459,77
1.67E+15,NBT Fark Hai,Collateral,498677,107
3.08E+14,???? ???????????,Optechs,496471,566
2.74E+14,Saidi Reddy BJP,Digital Connect,495329,170
2.55E+14,ModiRashtraa,Modirashtraa,494055,171
2.65E+14,Parampal Kaur Sidhu - Retd. IAS,DigiComm Marketing Services LLP,493066,531
1.09E+14,Elevate Now,Elevate Now,485774,33
2.65E+14,Sagar Khandre for Bidar,Karnataka Times,484200,154
1.08E+14,Sukhbir Singh Badal,Sukhbir Singh Badal,483669,198
2.59E+14,???????? - ???????,???????? - ???????,480783,28
2.42E+14,Nalanda Lok Sabha - ??????,The Narrative Builders,479651,298
30702412762,NewsX,NewsX,475345,289
1.08E+14,Ravindra Chavan FC,Ravindra Chavan FC,472613,73
1.74E+14,Punjab Modi Naal,Punjab Modi Naal - ????? ???? ???,470152,369
2.74E+14,Sheohar Lok sabha- ?????,The Narrative Builders,468102,243
1.64E+15,Kannababu Kurasala,Kannababu Kurasala,467585,444
2.30E+14,Gopalganj Lok Sabha - ????????,The Narrative Builders,466939,267
1.92E+14,Jahanabad Lok Sabha - ????????,The Narrative Builders,466273,345
